id;first_name;last_name;email;phone_number
1;Garnett;Schinner;Christelle_Renner59@hotmail.com;Dam
2;Bailey;Beer;Sammie.Hartmann@yahoo.com;deposit Tasty Metal Bacon Implementation
3;Abagail;Deckow;Christelle61@hotmail.com;Grocery Home
4;Judge;Moore;Brody97@yahoo.com;Multi-channelled Licensed
5;Liana;Dooley;Jordan.Wyman@yahoo.com;HDD
6;Marilou;Dach;Aniyah_Ankunding96@yahoo.com;cross-platform access
7;Axel;Fay;Dayne.Kessler60@hotmail.com;backing up Salad
8;Giovanna;Gerhold;Makayla42@gmail.com;sky blue Georgia
9;Alexandrea;Wisozk;Opal.Kirlin89@hotmail.com;Credit Card Account National Awesome
10;Cleve;Leannon;Victoria.Hane74@gmail.com;South Georgia and the South Sandwich Islands
